"talhao_id","data_campanha","horario_voo","temperatura_superficie_media_c","temperatura_superficie_min_c","temperatura_superficie_max_c","indice_cobertura_vegetal","qualidade_imagem"
"T22",2023-08-15,"11:30",31.6,19.3,29.9,0.61,"boa"
"T23",2023-08-15,"11:30",33.3,17.4,35.4,0.47,"boa"
"T24",2023-08-15,"11:30",30.9,18.9,31.4,0.6,"boa"
"T25",2023-08-15,"11:30",28.7,18.2,29,0.7,"boa"
"T26",2023-08-15,"11:30",28,18.2,28.7,0.66,"boa"
"T27",2023-08-15,"11:30",27.8,19.9,29.8,0.74,"boa"
"T28",2023-08-15,"11:30",30.4,18.4,31.6,0.47,"boa"
"T29",2023-08-15,"11:30",29.3,19.8,28.7,0.71,"boa"
"T30",2023-08-15,"11:30",31,18.5,32.7,0.58,"boa"
"T31",2023-08-15,"11:30",28.2,20.3,28.4,0.71,"boa"
"T32",2023-08-15,"11:30",28.7,18.3,29.9,0.72,"boa"
"T33",2023-08-15,"11:30",28,17.8,28.7,0.66,"boa"
"T34",2023-08-15,"11:30",29.9,20.3,31.4,0.59,"boa"
"T35",2023-08-15,"11:30",27.2,18.6,28.3,0.68,"boa"
"T36",2023-08-15,"11:30",31.2,19.2,32.9,0.68,"boa"
"T01",2023-11-15,"11:30",34.1,17.3,35.9,0.49,"boa"
"T02",2023-11-15,"11:30",29.2,19.9,27.6,0.69,"boa"
"T03",2023-11-15,"11:30",33.5,18.8,34,0.52,"boa"
"T04",2023-11-15,"11:30",30.3,18.8,32.9,0.57,"boa"
"T05",2023-11-15,"11:30",35.1,19.2,35.7,0.47,"boa"
"T06",2023-11-15,"11:30",33.3,19.3,34.7,0.52,"boa"
"T07",2023-11-15,"11:30",32.4,18.9,33.2,0.54,"boa"
"T08",2023-11-15,"11:30",34.7,18.2,34.2,0.44,"boa"
"T09",2023-11-15,"11:30",33.2,18.6,33.6,0.57,"boa"
"T10",2023-11-15,"11:30",32.3,20,34,0.58,"boa"
"T11",2023-11-15,"11:30",32.1,18.8,34.9,0.55,"boa"
"T12",2023-11-15,"11:30",34.7,17.8,37.3,0.48,"boa"
"T13",2023-11-15,"11:30",34.6,18.3,35.6,0.57,"boa"
"T14",2023-11-15,"11:30",31.9,19,33.6,0.58,"boa"
"T15",2023-11-15,"11:30",34.4,19.5,37.5,0.5,"boa"
"T16",2023-11-15,"11:30",33.2,20.1,33.4,0.57,"boa"
"T17",2023-11-15,"11:30",29.1,19,31.6,0.73,"boa"
"T18",2023-11-15,"11:30",36.7,18.9,39.3,0.47,"boa"
"T19",2023-11-15,"11:30",31.9,19.5,34.6,0.58,"boa"
"T20",2023-11-15,"11:30",31.5,19.3,33.2,0.68,"boa"
"T21",2023-11-15,"11:30",29.1,19.9,30,0.65,"boa"
"T22",2023-11-15,"11:30",31.7,18.9,32.4,0.61,"boa"
"T23",2023-11-15,"11:30",33,19.1,36.8,0.5,"boa"
"T24",2023-11-15,"11:30",31.4,18,32.2,0.59,"boa"
"T25",2023-11-15,"11:30",28.8,19.8,29.6,0.75,"boa"
"T26",2023-11-15,"11:30",30,19.7,29.1,0.64,"boa"
"T27",2023-11-15,"11:30",30.4,20.1,29.7,0.73,"boa"
"T28",2023-11-15,"11:30",32.5,17.9,34.8,0.53,"boa"
"T29",2023-11-15,"11:30",29.3,20.1,31.5,0.73,"boa"
"T30",2023-11-15,"11:30",32.1,20.1,33.6,0.53,"boa"
"T31",2023-11-15,"11:30",28.8,18.7,29.1,0.79,"boa"
"T32",2023-11-15,"11:30",29.9,21,31.2,0.68,"boa"
"T33",2023-11-15,"11:30",28.4,18.5,31.7,0.63,"boa"
"T34",2023-11-15,"11:30",29.5,20.3,30.9,0.63,"boa"
"T35",2023-11-15,"11:30",29.4,19.8,27.6,0.75,"boa"
"T36",2023-11-15,"11:30",33.2,19.9,32.4,0.56,"boa"
"T01",2024-02-15,"11:30",29.2,15,30.5,0.44,"boa"
"T02",2024-02-15,"11:30",19,16.1,19.5,0.74,"boa"
"T03",2024-02-15,"11:30",26,14.4,27,0.52,"boa"
"T04",2024-02-15,"11:30",24.4,15.3,26.3,0.67,"boa"
"T05",2024-02-15,"11:30",26.9,14.4,29.6,0.44,"boa"
"T06",2024-02-15,"11:30",24.7,14.2,25.5,0.62,"boa"
"T07",2024-02-15,"11:30",26,14.9,27.1,0.47,"boa"
"T08",2024-02-15,"11:30",25.9,14.8,30.3,0.53,"boa"
"T09",2024-02-15,"11:30",24,15.9,24.5,0.62,"boa"
"T10",2024-02-15,"11:30",25.2,15.5,25.6,0.66,"boa"
"T11",2024-02-15,"11:30",23.7,15.2,25.4,0.65,"boa"
"T12",2024-02-15,"11:30",25,14.1,27.9,0.56,"boa"
"T13",2024-02-15,"11:30",25.3,14.6,27.3,0.58,"boa"
"T14",2024-02-15,"11:30",24.4,14,23.4,0.51,"boa"
"T15",2024-02-15,"11:30",28.4,15.3,29.7,0.44,"boa"
"T16",2024-02-15,"11:30",24.3,16.6,26,0.56,"boa"
"T17",2024-02-15,"11:30",23.9,15.5,24.1,0.78,"boa"
"T18",2024-02-15,"11:30",27.8,14.9,30,0.48,"boa"
"T19",2024-02-15,"11:30",26.4,15.5,27.1,0.53,"boa"
"T20",2024-02-15,"11:30",23.5,15.4,23.9,0.63,"boa"
"T21",2024-02-15,"11:30",21.3,15.5,25,0.66,"boa"
"T22",2024-02-15,"11:30",23.5,15.7,24.4,0.6,"boa"
"T23",2024-02-15,"11:30",26.6,14.4,28,0.54,"boa"
"T24",2024-02-15,"11:30",23.4,14.7,25.7,0.69,"boa"
"T25",2024-02-15,"11:30",24.6,16.6,22,0.76,"boa"
"T26",2024-02-15,"11:30",21.8,16.1,22,0.74,"boa"
"T27",2024-02-15,"11:30",20.6,16.4,19.8,0.71,"boa"
"T28",2024-02-15,"11:30",27.8,14.4,28.3,0.47,"boa"
"T29",2024-02-15,"11:30",20.9,15.8,24.2,0.69,"boa"
"T30",2024-02-15,"11:30",24.8,15.2,25.8,0.6,"boa"
"T31",2024-02-15,"11:30",23.1,15.5,22.8,0.78,"boa"
"T32",2024-02-15,"11:30",22.8,15.1,21.9,0.67,"boa"
"T33",2024-02-15,"11:30",25.7,14.9,27.4,0.63,"boa"
"T34",2024-02-15,"11:30",25.5,14.9,25.1,0.66,"boa"
"T35",2024-02-15,"11:30",23.2,16.5,24.3,0.69,"boa"
"T36",2024-02-15,"11:30",23.1,15,25.3,0.69,"boa"
"T01",2024-05-15,"11:30",26.2,14.8,27.6,0.45,"boa"
"T02",2024-05-15,"11:30",22.3,14.6,21.8,0.69,"boa"
"T03",2024-05-15,"11:30",25.4,14.5,26.3,0.51,"boa"
"T04",2024-05-15,"11:30",22.6,14.6,23.1,0.65,"boa"
"T05",2024-05-15,"11:30",25.3,14.5,27,0.5,"boa"
"T06",2024-05-15,"11:30",23.4,13.1,24.3,0.56,"boa"
"T07",2024-05-15,"11:30",26.3,13.5,29.3,0.51,"boa"
"T08",2024-05-15,"11:30",25,14.4,26.9,0.52,"boa"
"T09",2024-05-15,"11:30",21.3,14.4,24.4,0.6,"boa"
"T10",2024-05-15,"11:30",23.8,14.5,23.9,0.64,"boa"
"T11",2024-05-15,"11:30",23.8,15.4,23.1,0.59,"boa"
"T12",2024-05-15,"11:30",25.5,14.3,25.8,0.55,"boa"
"T13",2024-05-15,"11:30",25.4,15,26,0.6,"boa"
"T14",2024-05-15,"11:30",23,15.3,24.8,0.59,"boa"
"T15",2024-05-15,"11:30",25.4,13.4,28.5,0.43,"boa"
"T16",2024-05-15,"11:30",22.3,14.1,24.7,0.61,"boa"
"T17",2024-05-15,"11:30",22.6,14.8,24.2,0.77,"boa"
"T18",2024-05-15,"11:30",27.7,15.3,28.4,0.48,"boa"
"T19",2024-05-15,"11:30",24,14.7,25.2,0.56,"boa"
"T20",2024-05-15,"11:30",23.1,14.6,23.2,0.67,"boa"
"T21",2024-05-15,"11:30",24,14.3,24.7,0.61,"boa"
"T22",2024-05-15,"11:30",23.1,14.2,25.4,0.55,"boa"
"T23",2024-05-15,"11:30",26.2,14.9,27.3,0.46,"boa"
"T24",2024-05-15,"11:30",22.7,14.5,22,0.64,"boa"
"T25",2024-05-15,"11:30",21.7,15.9,21.4,0.71,"boa"
"T26",2024-05-15,"11:30",21,16,23.1,0.7,"boa"
"T27",2024-05-15,"11:30",20.5,16.6,20.7,0.74,"boa"
"T28",2024-05-15,"11:30",25.7,14.8,28.3,0.57,"boa"
"T29",2024-05-15,"11:30",22.6,14.7,22.4,0.77,"boa"
"T30",2024-05-15,"11:30",24.3,14.3,25.7,0.6,"boa"
"T31",2024-05-15,"11:30",20.6,16.1,21.1,0.7,"boa"
"T32",2024-05-15,"11:30",22.4,14.9,21.6,0.68,"boa"
"T33",2024-05-15,"11:30",24.6,15.7,26.3,0.59,"boa"
"T34",2024-05-15,"11:30",23.3,14.2,25.9,0.66,"boa"
"T35",2024-05-15,"11:30",21.2,14.8,20.5,0.74,"boa"
"T36",2024-05-15,"11:30",19.3,15.2,24,0.67,"boa"
"T01",2024-08-15,"11:30",32.8,19,34.1,0.43,"boa"
"T02",2024-08-15,"11:30",27.9,19.2,28.6,0.71,"boa"
"T03",2024-08-15,"11:30",31.6,18.1,33.2,0.53,"boa"
"T04",2024-08-15,"11:30",28.6,17.6,28.8,0.6,"boa"
"T05",2024-08-15,"11:30",33.6,17.8,36.3,0.46,"boa"
"T06",2024-08-15,"11:30",29.5,18.6,31.4,0.58,"boa"
"T07",2024-08-15,"11:30",32.9,18.8,33.2,0.52,"boa"
"T08",2024-08-15,"11:30",30.9,18.7,34,0.53,"boa"
"T09",2024-08-15,"11:30",31.3,17.9,31.7,0.63,"boa"
"T10",2024-08-15,"11:30",29.3,18.5,30.1,0.62,"boa"
"T11",2024-08-15,"11:30",29.5,18.6,30.6,0.57,"boa"
"T12",2024-08-15,"11:30",31.5,18.1,34.7,0.51,"boa"
"T13",2024-08-15,"11:30",30.5,19.5,33.2,0.54,"boa"
"T14",2024-08-15,"11:30",29.5,18.4,32.7,0.62,"boa"
"T15",2024-08-15,"11:30",33.3,18.3,35.5,0.43,"boa"
"T16",2024-08-15,"11:30",30.2,18,31.9,0.6,"boa"
"T17",2024-08-15,"11:30",28.8,20.5,29.7,0.69,"boa"
"T18",2024-08-15,"11:30",31.8,18.7,34.9,0.51,"boa"
"T19",2024-08-15,"11:30",32.9,20,33.4,0.54,"boa"
"T20",2024-08-15,"11:30",27.7,19.7,28.3,0.67,"boa"
"T21",2024-08-15,"11:30",32,19.9,31,0.59,"boa"
"T22",2024-08-15,"11:30",29.5,19.2,32.6,0.61,"boa"
"T23",2024-08-15,"11:30",31.6,18.1,33.4,0.51,"boa"
"T24",2024-08-15,"11:30",27.9,19.6,28.1,0.7,"boa"
"T25",2024-08-15,"11:30",27.6,19.5,28.5,0.73,"boa"
"T26",2024-08-15,"11:30",28.7,21.6,27.8,0.72,"boa"
"T27",2024-08-15,"11:30",27.5,20.2,26.8,0.72,"boa"
"T28",2024-08-15,"11:30",33.2,19,33.7,0.56,"boa"
"T29",2024-08-15,"11:30",28.3,19.7,28.6,0.74,"boa"
"T30",2024-08-15,"11:30",31.7,18.7,31.5,0.59,"boa"
"T31",2024-08-15,"11:30",27.2,21.4,29.9,0.7,"boa"
"T32",2024-08-15,"11:30",27.2,19.5,27.2,0.7,"boa"
"T33",2024-08-15,"11:30",30.6,18.2,32.6,0.59,"boa"
"T34",2024-08-15,"11:30",30,19.3,32.3,0.54,"boa"
"T35",2024-08-15,"11:30",28,20,29.7,0.7,"boa"
"T36",2024-08-15,"11:30",28.7,19.7,29.7,0.67,"boa"
"T01",2024-11-15,"11:30",34,18.8,36.2,0.49,"boa"
"T02",2024-11-15,"11:30",28.3,20,28.3,0.8,"boa"
"T03",2024-11-15,"11:30",32.8,18.9,33,0.56,"boa"
"T04",2024-11-15,"11:30",30.4,19.4,31.7,0.66,"boa"
"T05",2024-11-15,"11:30",34.6,18.5,37.1,0.5,"boa"
"T06",2024-11-15,"11:30",31,19.8,32.8,0.61,"boa"
"T07",2024-11-15,"11:30",30.5,19.2,34.4,0.5,"boa"
"T08",2024-11-15,"11:30",31.8,18.1,33.4,0.51,"boa"
"T09",2024-11-15,"11:30",31.3,19.3,32.2,0.58,"boa"
"T10",2024-11-15,"11:30",31.7,20.2,29.4,0.58,"boa"
"T11",2024-11-15,"11:30",31.2,19.2,32.4,0.59,"boa"
"T12",2024-11-15,"11:30",33.1,18.5,35.8,0.49,"boa"
"T13",2024-11-15,"11:30",31.8,19.3,32.5,0.53,"boa"
"T14",2024-11-15,"11:30",32.4,20.1,32.8,0.57,"boa"
"T15",2024-11-15,"11:30",34,19.2,35.1,0.44,"boa"
"T16",2024-11-15,"11:30",30.5,20.7,31.7,0.6,"boa"
"T17",2024-11-15,"11:30",29.1,19.6,28.6,0.74,"boa"
"T18",2024-11-15,"11:30",33.9,20,35.5,0.49,"boa"
"T19",2024-11-15,"11:30",32.2,18.8,35.3,0.53,"boa"
"T20",2024-11-15,"11:30",30.1,19.6,31.9,0.62,"boa"
"T21",2024-11-15,"11:30",32.1,18,32.6,0.64,"boa"
"T22",2024-11-15,"11:30",31.5,20.2,31.6,0.61,"boa"
"T23",2024-11-15,"11:30",32,18.9,34.8,0.49,"boa"
"T24",2024-11-15,"11:30",30,19.5,29.6,0.68,"boa"
"T25",2024-11-15,"11:30",27.1,21.3,28.2,0.79,"boa"
"T26",2024-11-15,"11:30",29.4,20.2,29.1,0.75,"boa"
"T27",2024-11-15,"11:30",27.3,20.3,26.9,0.8,"boa"
"T28",2024-11-15,"11:30",32.5,18.9,33.7,0.53,"boa"
"T29",2024-11-15,"11:30",29.4,21.8,31,0.73,"boa"
"T30",2024-11-15,"11:30",30.3,19.6,33,0.62,"boa"
"T31",2024-11-15,"11:30",27.2,19.5,27.1,0.71,"boa"
"T32",2024-11-15,"11:30",27.9,20.8,31.7,0.64,"boa"
"T33",2024-11-15,"11:30",31,19.8,32.6,0.51,"boa"
"T34",2024-11-15,"11:30",31,19.2,32.3,0.64,"boa"
"T35",2024-11-15,"11:30",28.7,19.7,29.5,0.7,"boa"
"T36",2024-11-15,"11:30",29.8,20.8,30,0.66,"boa"
"T01",2025-02-15,"11:30",24.4,14.8,27.7,0.56,"boa"
"T02",2025-02-15,"11:30",20.8,14.9,20.5,0.73,"boa"
"T03",2025-02-15,"11:30",25.1,14.1,28.2,0.55,"boa"
"T04",2025-02-15,"11:30",23.5,14.8,26.4,0.62,"boa"
"T05",2025-02-15,"11:30",24.6,13.4,27.6,0.46,"boa"
"T06",2025-02-15,"11:30",26.8,14.2,26.2,0.57,"boa"
"T07",2025-02-15,"11:30",25,13.9,27.1,0.58,"boa"
"T08",2025-02-15,"11:30",24.7,14.1,27,0.47,"boa"
"T09",2025-02-15,"11:30",23.5,14,24.6,0.57,"boa"
"T10",2025-02-15,"11:30",20.1,14.9,22.1,0.67,"boa"
"T11",2025-02-15,"11:30",23.1,15.1,23,0.7,"boa"
"T12",2025-02-15,"11:30",25.5,14.6,27,0.54,"boa"
"T13",2025-02-15,"11:30",24.1,15.3,26.9,0.58,"boa"
"T14",2025-02-15,"11:30",24,15.5,25.7,0.59,"boa"
"T15",2025-02-15,"11:30",26.4,14.2,29.1,0.58,"boa"
"T16",2025-02-15,"11:30",23.1,16,22.8,0.7,"boa"
"T17",2025-02-15,"11:30",22.4,16,22.9,0.67,"boa"
"T18",2025-02-15,"11:30",27.1,15,27.5,0.43,"boa"
"T19",2025-02-15,"11:30",25.6,14.7,26.7,0.52,"boa"
"T20",2025-02-15,"11:30",22.5,14.5,23.4,0.66,"boa"
"T21",2025-02-15,"11:30",18.7,14.8,20.8,0.65,"boa"
"T22",2025-02-15,"11:30",22.5,14.8,24.6,0.6,"boa"
"T23",2025-02-15,"11:30",27.8,14,28.9,0.44,"boa"
"T24",2025-02-15,"11:30",24.6,15.9,24.5,0.63,"boa"
"T25",2025-02-15,"11:30",19.4,15.5,20.2,0.77,"boa"
"T26",2025-02-15,"11:30",21.6,15.6,20.4,0.71,"boa"
"T27",2025-02-15,"11:30",22,16.1,23,0.74,"boa"
"T28",2025-02-15,"11:30",27,14.9,29.5,0.47,"boa"
"T29",2025-02-15,"11:30",22.3,16.6,22.1,0.72,"boa"
"T30",2025-02-15,"11:30",22.1,15.2,24.4,0.71,"boa"
"T31",2025-02-15,"11:30",23.6,14.8,24,0.62,"boa"
"T32",2025-02-15,"11:30",21.4,15.5,24.9,0.66,"boa"
"T33",2025-02-15,"11:30",25.3,15.2,24.4,0.64,"boa"
"T34",2025-02-15,"11:30",24,15.5,22.9,0.7,"boa"
"T35",2025-02-15,"11:30",22.6,15,20.4,0.75,"boa"
"T36",2025-02-15,"11:30",23.7,15.5,22.7,0.59,"boa"
"T01",2025-05-15,"11:30",22.6,16,25.5,0.49,"boa"
"T02",2025-05-15,"11:30",19.4,16.5,20.7,0.72,"boa"
"T03",2025-05-15,"11:30",22.6,15.2,25.3,0.53,"boa"
"T04",2025-05-15,"11:30",23.2,14.2,23.6,0.56,"boa"
"T05",2025-05-15,"11:30",26.6,14.2,28.9,0.41,"boa"
"T06",2025-05-15,"11:30",25.8,14.9,24.7,0.61,"boa"
"T07",2025-05-15,"11:30",25.3,13.9,25.7,0.54,"boa"
"T08",2025-05-15,"11:30",26.1,14.3,26.1,0.43,"boa"
"T09",2025-05-15,"11:30",23,14.4,24.5,0.57,"boa"
"T10",2025-05-15,"11:30",20.4,13.8,22.9,0.68,"boa"
"T11",2025-05-15,"11:30",20.7,14.3,20.2,0.66,"boa"
"T12",2025-05-15,"11:30",26.5,14.7,27.6,0.59,"boa"
"T13",2025-05-15,"11:30",22.6,15.3,24.6,0.57,"boa"
"T14",2025-05-15,"11:30",23.4,13.9,24,0.65,"boa"
"T15",2025-05-15,"11:30",23.5,14.1,25,0.51,"boa"
"T16",2025-05-15,"11:30",21.3,15,20.6,0.65,"boa"
"T17",2025-05-15,"11:30",20.3,15.3,21.2,0.72,"boa"
"T18",2025-05-15,"11:30",26.7,14.6,29,0.46,"boa"
"T19",2025-05-15,"11:30",24.2,15.2,22.7,0.64,"boa"
"T20",2025-05-15,"11:30",22.7,15.4,22.8,0.63,"boa"
"T21",2025-05-15,"11:30",19.7,15.3,21.1,0.64,"boa"
"T22",2025-05-15,"11:30",21.1,14.7,23.8,0.61,"boa"
"T23",2025-05-15,"11:30",26.7,15,26.8,0.43,"boa"
"T24",2025-05-15,"11:30",23.2,15.3,24.2,0.6,"boa"
"T25",2025-05-15,"11:30",22,15.7,21.3,0.71,"boa"
"T26",2025-05-15,"11:30",21.2,15.2,19.5,0.73,"boa"
"T27",2025-05-15,"11:30",18.9,16.8,19.1,0.77,"boa"
"T28",2025-05-15,"11:30",25.1,15.2,28.3,0.46,"boa"
"T29",2025-05-15,"11:30",19.7,16,21.4,0.7,"boa"
"T30",2025-05-15,"11:30",21.3,16.7,21.9,0.7,"boa"
"T31",2025-05-15,"11:30",21.5,15.2,22.7,0.71,"boa"
"T32",2025-05-15,"11:30",21.3,15.4,22.8,0.68,"boa"
"T33",2025-05-15,"11:30",21.8,15.3,23,0.69,"boa"
"T34",2025-05-15,"11:30",20.4,16,22.1,0.72,"boa"
"T35",2025-05-15,"11:30",20.6,15.8,20.3,0.74,"boa"
"T36",2025-05-15,"11:30",22,16.5,23.2,0.6,"boa"
"T01",2025-08-15,"11:30",33.1,19.2,35.4,0.55,"boa"
"T02",2025-08-15,"11:30",27.4,18.5,29.2,0.73,"boa"
"T03",2025-08-15,"11:30",30.6,18.4,33.5,0.57,"boa"
"T04",2025-08-15,"11:30",30.9,20.1,32.4,0.61,"boa"
"T05",2025-08-15,"11:30",34.1,18.2,37.2,0.46,"boa"
"T06",2025-08-15,"11:30",32.6,18,34.5,0.53,"boa"
"T07",2025-08-15,"11:30",32.5,18.4,31.8,0.53,"boa"
"T08",2025-08-15,"11:30",33.5,18.7,35.1,0.42,"boa"
"T09",2025-08-15,"11:30",31.4,19,31.9,0.6,"boa"
"T10",2025-08-15,"11:30",28.5,20.5,29.1,0.71,"boa"
"T11",2025-08-15,"11:30",29.2,19.8,32.2,0.71,"boa"
"T12",2025-08-15,"11:30",31.2,18.7,34.3,0.52,"boa"
"T13",2025-08-15,"11:30",30.7,18.5,31.9,0.6,"boa"
"T14",2025-08-15,"11:30",32,19.7,31.6,0.62,"boa"
"T15",2025-08-15,"11:30",33.7,19.1,34.7,0.5,"boa"
"T16",2025-08-15,"11:30",29.4,19.4,32,0.61,"boa"
"T17",2025-08-15,"11:30",29.9,18.8,28.1,0.7,"boa"
"T18",2025-08-15,"11:30",34.1,19.1,35.2,0.44,"boa"
"T19",2025-08-15,"11:30",32.9,20.4,32.3,0.56,"boa"
"T20",2025-08-15,"11:30",28,18.9,30.9,0.67,"boa"
"T21",2025-08-15,"11:30",28.6,20.3,28.6,0.78,"boa"
"T22",2025-08-15,"11:30",32,19.6,31.4,0.67,"boa"
"T23",2025-08-15,"11:30",33.5,19.8,36.9,0.47,"boa"
"T24",2025-08-15,"11:30",30,20,30,0.61,"boa"
"T25",2025-08-15,"11:30",28.3,20,30.8,0.67,"boa"
"T26",2025-08-15,"11:30",29.8,20.1,28.6,0.69,"boa"
"T27",2025-08-15,"11:30",28,19.8,27.2,0.75,"boa"
"T28",2025-08-15,"11:30",33.9,19.6,33.8,0.51,"boa"
"T29",2025-08-15,"11:30",28,19.6,28.7,0.7,"boa"
"T30",2025-08-15,"11:30",29.6,20.1,31.3,0.61,"boa"
"T31",2025-08-15,"11:30",29.1,19.7,30.5,0.63,"boa"
"T32",2025-08-15,"11:30",31.1,20.6,30.3,0.67,"boa"
"T33",2025-08-15,"11:30",29.9,19.2,30.9,0.68,"boa"
"T34",2025-08-15,"11:30",29.1,19.5,30.9,0.68,"boa"
"T35",2025-08-15,"11:30",27.6,19.1,30,0.73,"boa"
"T36",2025-08-15,"11:30",30.4,21.2,31.8,0.58,"boa"
"T01",2025-11-15,"11:30",29.7,19.1,33.1,0.56,"boa"
"T02",2025-11-15,"11:30",27.7,20,28.3,0.73,"boa"
"T03",2025-11-15,"11:30",30.9,18.5,33.3,0.58,"boa"
"T04",2025-11-15,"11:30",31.2,19.6,31.6,0.64,"boa"
"T05",2025-11-15,"11:30",32.1,18.8,37.2,0.45,"boa"
"T06",2025-11-15,"11:30",30.1,20.3,32.8,0.55,"boa"
"T07",2025-11-15,"11:30",32.3,19,35.6,0.52,"boa"
"T08",2025-11-15,"11:30",31.8,19.7,34.7,0.49,"boa"
"T09",2025-11-15,"11:30",30.2,19.3,31.6,0.58,"boa"
"T10",2025-11-15,"11:30",28,19.5,27.9,0.67,"boa"
"T11",2025-11-15,"11:30",32.4,19,31.8,0.62,"boa"
"T12",2025-11-15,"11:30",31.2,18.5,34.9,0.54,"boa"
"T13",2025-11-15,"11:30",33.1,18.8,35.2,0.56,"boa"
"T14",2025-11-15,"11:30",30.7,19.5,31.2,0.58,"boa"
"T15",2025-11-15,"11:30",30.8,18.4,33.3,0.47,"boa"
"T16",2025-11-15,"11:30",28.6,19.2,31.6,0.65,"boa"
"T17",2025-11-15,"11:30",28.9,19.3,28.3,0.68,"boa"
"T18",2025-11-15,"11:30",32.6,18.9,37.3,0.47,"boa"
"T19",2025-11-15,"11:30",32,19.8,32.1,0.58,"boa"
"T20",2025-11-15,"11:30",30.7,18.7,28.9,0.65,"boa"
"T21",2025-11-15,"11:30",27.6,20.1,29.6,0.71,"boa"
"T22",2025-11-15,"11:30",29.8,20,30.2,0.59,"boa"
"T23",2025-11-15,"11:30",34.7,18.4,36.8,0.47,"boa"
"T24",2025-11-15,"11:30",28.9,19.1,31.3,0.64,"boa"
"T25",2025-11-15,"11:30",29.4,19.9,29.1,0.71,"boa"
"T26",2025-11-15,"11:30",31.2,20,29.9,0.72,"boa"
"T27",2025-11-15,"11:30",26.6,20.1,26.4,0.74,"boa"
"T28",2025-11-15,"11:30",33.4,21.1,33.3,0.47,"boa"
"T29",2025-11-15,"11:30",28.3,19.4,31.7,0.69,"boa"
"T30",2025-11-15,"11:30",28.3,21.1,29.6,0.69,"boa"
"T31",2025-11-15,"11:30",30.9,20.3,30.5,0.64,"boa"
"T32",2025-11-15,"11:30",30,20,33.3,0.61,"boa"
"T33",2025-11-15,"11:30",30.1,20.3,30,0.59,"boa"
"T34",2025-11-15,"11:30",28,19.5,28.7,0.64,"boa"
"T35",2025-11-15,"11:30",27.8,19.9,28.3,0.75,"boa"
"T36",2025-11-15,"11:30",30.8,19.9,31.8,0.63,"boa"
